IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150377268,ROBBERY,"ROBBERY, ARMED WITH A GUN",Thursday,04/30/2015,21:11,PARK,NONE,17TH ST / ORD ST,-122.440168037474,37.7621873493017,"(37.7621873493017, -122.440168037474)",15037726803071
150377202,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,04/30/2015,21:05,NORTHERN,"ARREST, BOOKED",700 Block of LARKIN ST,-122.417921890967,37.7849295212519,"(37.7849295212519, -122.417921890967)",15037720216621
150377202,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Thursday,04/30/2015,21:05,NORTHERN,"ARREST, BOOKED",700 Block of LARKIN ST,-122.417921890967,37.7849295212519,"(37.7849295212519, -122.417921890967)",15037720271024
150377202,OTHER OFFENSES,PROBATION VIOLATION,Thursday,04/30/2015,21:05,NORTHERN,"ARREST, BOOKED",700 Block of LARKIN ST,-122.417921890967,37.7849295212519,"(37.7849295212519, -122.417921890967)",15037720226170
150377202,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Thursday,04/30/2015,21:05,NORTHERN,"ARREST, BOOKED",700 Block of LARKIN ST,-122.417921890967,37.7849295212519,"(37.7849295212519, -122.417921890967)",15037720216622
150378448,NON-CRIMINAL,LOST PROPERTY,Thursday,04/30/2015,21:00,CENTRAL,NONE,600 Block of POST ST,-122.412032359787,37.7878854896155,"(37.7878854896155, -122.412032359787)",15037844871000
156103742,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,21:00,NORTHERN,NONE,TURK ST / POLK ST,-122.418996371999,37.7821689138292,"(37.7821689138292, -122.418996371999)",15610374206244
156106100,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,04/30/2015,21:00,PARK,NONE,1900 Block of EDDY ST,-122.439762815886,37.7804243298618,"(37.7804243298618, -122.439762815886)",15610610028150
150377531,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,21:00,PARK,NONE,SHRADER ST / HAIGHT ST,-122.451864552636,37.7693505381781,"(37.7693505381781, -122.451864552636)",15037753106244
150378147,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,04/30/2015,21:00,CENTRAL,NONE,HYDE ST / CLAY ST,-122.417761976795,37.7928030545176,"(37.7928030545176, -122.417761976795)",15037814707023
150378868,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Thursday,04/30/2015,21:00,CENTRAL,NONE,900 Block of KEARNY ST,-122.405283980519,37.7965510480789,"(37.7965510480789, -122.405283980519)",15037886805151
150381491,ASSAULT,BATTERY,Thursday,04/30/2015,21:00,MISSION,NONE,2600 Block of HARRISON ST,-122.412052145525,37.7550201425447,"(37.7550201425447, -122.412052145525)",15038149104134
150381491,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,04/30/2015,21:00,MISSION,NONE,2600 Block of HARRISON ST,-122.412052145525,37.7550201425447,"(37.7550201425447, -122.412052145525)",15038149106153
156105964,NON-CRIMINAL,LOST PROPERTY,Thursday,04/30/2015,21:00,INGLESIDE,NONE,2900 Block of DIAMOND ST,-122.434229200474,37.733019952271,"(37.733019952271, -122.434229200474)",15610596471000
150381491,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,04/30/2015,21:00,MISSION,NONE,2600 Block of HARRISON ST,-122.412052145525,37.7550201425447,"(37.7550201425447, -122.412052145525)",15038149128150
150378307,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,04/30/2015,21:00,INGLESIDE,NONE,100 Block of GUTTENBERG ST,-122.443586327721,37.7111583324271,"(37.7111583324271, -122.443586327721)",15037830706242
150380346,LARCENY/THEFT,PETTY THEFT BICYCLE,Thursday,04/30/2015,21:00,TARAVAL,NONE,2700 Block of SANTIAGO ST,-122.496728009603,37.7440519356656,"(37.7440519356656, -122.496728009603)",15038034606313
156103714,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,04/30/2015,20:52,NORTHERN,NONE,LAGUNA ST / GREEN ST,-122.430371829258,37.7967808411162,"(37.7967808411162, -122.430371829258)",15610371406224
150377230,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,04/30/2015,20:48,INGLESIDE,NONE,700 Block of VIENNA ST,-122.433294344912,37.7165399438591,"(37.7165399438591, -122.433294344912)",15037723064020
150377149,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Thursday,04/30/2015,20:45,NORTHERN,EXCEPTIONAL CLEARANCE,1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037714913075
150377149,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,04/30/2015,20:45,NORTHERN,EXCEPTIONAL CLEARANCE,1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037714964085
156108043,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,20:40,CENTRAL,NONE,TAYLOR ST / NORTHPOINT ST,-122.415435473094,37.8063418891813,"(37.8063418891813, -122.415435473094)",15610804306244
150398894,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,04/30/2015,20:30,SOUTHERN,NONE,800 Block of MARKET ST,-122.407902468508,37.784253176872,"(37.784253176872, -122.407902468508)",15039889406153
156103695,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,04/30/2015,20:30,NORTHERN,NONE,2000 Block of CHESTNUT ST,-122.436775838314,37.8006947037442,"(37.8006947037442, -122.436775838314)",15610369506224
156106047,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,20:30,MISSION,NONE,YORK ST / 18TH ST,-122.409159618012,37.7618174293933,"(37.7618174293933, -122.409159618012)",15610604706244
150398894,FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,04/30/2015,20:30,SOUTHERN,NONE,800 Block of MARKET ST,-122.407902468508,37.784253176872,"(37.784253176872, -122.407902468508)",15039889409320
150377246,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,04/30/2015,20:30,TARAVAL,NONE,22ND AV / WAWONA ST,-122.478497499558,37.7373109616566,"(37.7373109616566, -122.478497499558)",15037724664020
150377070,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Thursday,04/30/2015,20:22,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037707013075
150377070,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,04/30/2015,20:22,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037707013060
150377111,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,04/30/2015,20:20,PARK,NONE,GROVE ST / ASHBURY ST,-122.44787909877,37.7746658561922,"(37.7746658561922, -122.44787909877)",15037711103014
150377105,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,04/30/2015,20:13,TENDERLOIN,NONE,100 Block of HYDE ST,-122.415669661443,37.7821198488931,"(37.7821198488931, -122.415669661443)",15037710564020
150377694,MISSING PERSON,MISSING ADULT,Thursday,04/30/2015,20:08,RICHMOND,UNFOUNDED,3200 Block of CLEMENT ST,-122.493989293982,37.781546956085,"(37.781546956085, -122.493989293982)",15037769474000
150377694,MISSING PERSON,FOUND PERSON,Thursday,04/30/2015,20:08,RICHMOND,UNFOUNDED,3200 Block of CLEMENT ST,-122.493989293982,37.781546956085,"(37.781546956085, -122.493989293982)",15037769475000
150377133,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,04/30/2015,20:01,INGLESIDE,"ARREST, BOOKED",1500 Block of GENEVA AV,-122.427966288266,37.7118229386046,"(37.7118229386046, -122.427966288266)",15037713304012
150377133,OTHER OFFENSES,RESISTING ARREST,Thursday,04/30/2015,20:01,INGLESIDE,"ARREST, BOOKED",1500 Block of GENEVA AV,-122.427966288266,37.7118229386046,"(37.7118229386046, -122.427966288266)",15037713327170
150377133,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Thursday,04/30/2015,20:01,INGLESIDE,"ARREST, BOOKED",1500 Block of GENEVA AV,-122.427966288266,37.7118229386046,"(37.7118229386046, -122.427966288266)",15037713303072
150377133,OTHER OFFENSES,CONSPIRACY,Thursday,04/30/2015,20:01,INGLESIDE,"ARREST, BOOKED",1500 Block of GENEVA AV,-122.427966288266,37.7118229386046,"(37.7118229386046, -122.427966288266)",15037713326080
150377133,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Thursday,04/30/2015,20:01,INGLESIDE,"ARREST, BOOKED",1500 Block of GENEVA AV,-122.427966288266,37.7118229386046,"(37.7118229386046, -122.427966288266)",15037713311012
150378692,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Thursday,04/30/2015,20:00,BAYVIEW,NONE,0 Block of CONNECTICUT ST,-122.397730190804,37.7657125554895,"(37.7657125554895, -122.397730190804)",15037869228165
150377371,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,20:00,RICHMOND,NONE,5000 Block of GEARY BL,-122.473410842432,37.7804792523103,"(37.7804792523103, -122.473410842432)",15037737106244
150377519,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,20:00,BAYVIEW,NONE,ILLINOIS ST / 24TH ST,-122.386942103872,37.7541679837666,"(37.7541679837666, -122.386942103872)",15037751906244
150377519,NON-CRIMINAL,FOUND PROPERTY,Thursday,04/30/2015,20:00,BAYVIEW,NONE,ILLINOIS ST / 24TH ST,-122.386942103872,37.7541679837666,"(37.7541679837666, -122.386942103872)",15037751972000
150377155,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,04/30/2015,20:00,NORTHERN,EXCEPTIONAL CLEARANCE,1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037715564085
150377155,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Thursday,04/30/2015,20:00,NORTHERN,EXCEPTIONAL CLEARANCE,1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037715513075
156105986,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,20:00,RICHMOND,NONE,34TH AV / CLEMENT ST,-122.494521109472,37.7815746718896,"(37.7815746718896, -122.494521109472)",15610598606244
156109392,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,20:00,NORTHERN,NONE,GEARY BL / VANNESS AV,-122.421395819115,37.7856843389472,"(37.7856843389472, -122.421395819115)",15610939206244
150377638,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,04/30/2015,20:00,SOUTHERN,NONE,10TH ST / DIVISION ST,-122.408350596692,37.7692499450862,"(37.7692499450862, -122.408350596692)",15037763807021
150378620,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Thursday,04/30/2015,20:00,BAYVIEW,NONE,1000 Block of LECONTE AV,-122.39800417734,37.7190331787318,"(37.7190331787318, -122.39800417734)",15037862015161
150377155,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,04/30/2015,20:00,NORTHERN,EXCEPTIONAL CLEARANCE,1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037715513060
150378501,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,04/30/2015,20:00,TARAVAL,NONE,100 Block of CORONA ST,-122.466235239779,37.7244048814203,"(37.7244048814203, -122.466235239779)",15037850106304
150378551,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,04/30/2015,20:00,PARK,NONE,1700 Block of EDDY ST,-122.43644305449,37.7808493247624,"(37.7808493247624, -122.43644305449)",15037855106243
150378620,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,04/30/2015,20:00,BAYVIEW,NONE,1000 Block of LECONTE AV,-122.39800417734,37.7190331787318,"(37.7190331787318, -122.39800417734)",15037862028150
150379822,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,04/30/2015,20:00,MISSION,NONE,1100 Block of SHOTWELL ST,-122.415005297689,37.7500179227307,"(37.7500179227307, -122.415005297689)",15037982207021
150376997,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Thursday,04/30/2015,19:51,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037699713075
150376997,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,04/30/2015,19:51,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037699713060
156103316,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,04/30/2015,19:50,PARK,NONE,STANYAN ST / WALLER ST,-122.453354647469,37.7682463076665,"(37.7682463076665, -122.453354647469)",15610331606372
156103190,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,19:50,NORTHERN,NONE,HAYES ST / VANNESS AV,-122.419697721691,37.7773009526003,"(37.7773009526003, -122.419697721691)",15610319006244
156105481,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,19:45,SOUTHERN,NONE,BRANNAN ST / 3RD ST,-122.394304475194,37.7800905305924,"(37.7800905305924, -122.394304475194)",15610548106244
156103203,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,04/30/2015,19:45,NORTHERN,NONE,MCALLISTER ST / GOUGH ST,-122.423545232042,37.779672005548,"(37.779672005548, -122.423545232042)",15610320306372
